eta,f,f',f''
4,2.29633825337831,0.955408159856346,0.0646067439339264
4.01,2.30589233497687,0.956054227295685,0.0638649492463179
4.02,2.31545287724983,0.956692876788148,0.063128620761614
4.03,2.32501980601771,0.957324162995764,0.0623977640287175
4.04,2.33459304764767,0.957948140636051,0.0616723838426276
4.05,2.34417252905403,0.958564864474477,0.0609524842498733
4.06,2.35375817769877,0.959174389316976,0.0602380685540925
4.07,2.36334992159194,0.959776770002517,0.0595291393217526
4.08,2.37294768929197,0.960372061395735,0.0588256983880101
4.09,2.38255140990593,0.960960318379615,0.058127746862706
4.1,2.39216101308973,0.961541595848242,0.057435285136494
4.11,2.40177642904821,0.962115948699607,0.0567483128870979
4.12,2.41139758853521,0.962683431828478,0.0560668290856955
4.13,2.42102442285349,0.963244100119335,0.0553908320034252
4.14,2.43065686385468,0.963798008439369,0.0547203192180129
4.15,2.44029484393907,0.964345211631549,0.054055287620515
4.16,2.44993829605539,0.964885764507754,0.0533957334221751
4.17,2.45958715370047,0.965419721841976,0.0527416521613903
4.18,2.46924135091889,0.96594713836359,0.0520930387107848
4.19,2.47890082230253,0.966468068750698,0.0514498872843864
4.2,2.48856550299004,0.966982567623542,0.0508121914449032
4.21,2.49823532866628,0.967490689537991,0.0501799441110976
4.22,2.50791023556166,0.967992488979102,0.0495531375652534
4.23,2.51759016045145,0.968488020354755,0.0489317634607329
4.24,2.527275040655,0.968977337989362,0.0483158128296215
4.25,2.53696481403489,0.969460496117658,0.0477052760904552
4.26,2.54665941899607,0.969937548878563,0.0471001430560287
4.27,2.55635879448486,0.970408550309123,0.0465004029412802
4.28,2.56606287998795,0.970873554338536,0.04590604437125
4.29,2.57577161553134,0.971332614782249,0.0453170553891093
4.3,2.58548494167916,0.97178578533614,0.0447334234642557
4.31,2.59520279953252,0.972233119570783,0.0441551355004727
4.32,2.60492513072823,0.972674670925788,0.0435821778441499
4.33,2.61465187743749,0.973110492704229,0.0430145362925594
4.34,2.62438298236453,0.973540638067155,0.0424521961021872
4.35,2.6341183887452,0.973965160028177,0.0418951419971143
4.36,2.64385804034548,0.974384111448148,0.0413433581774458
4.37,2.65360188145996,0.974797545029922,0.0407968283277842
4.38,2.66334985691026,0.9752055133132,0.0402555356257432
4.39,2.67310191204339,0.975608068669457,0.0397194627504999
4.4,2.68285799273008,0.976005263296962,0.0391885918913814
4.41,2.69261804536305,0.976397149215876,0.0386629047564833
